What is your age?,What is your gender?,Where are you from?,What do you do currently?,What is your approximate monthly travel or personal spending budget?,Which place did you visit recently?,What type of trip was it?,How many days did the trip last?,Which month did you travel?,In Which season do you visited?,What was your approximate total trip budget (in rupees)?,What was your primary mode of travel?,How would you describe your stay/hotel experience?,Rate the local transportation experience.,How good were the sightseeing places?,"Overall, how satisfied were you with the trip?",Would you like to revisit the same destination?,"If you travel again, what kind of experience would you prefer?"
22,Female,Andhra Pradesh,Student,"Less than â‚¹1,000",Jalandhar ,Solo,3,November,autumn,3241,Bus,Excellent,3,5,5,Yes,Relaxing holiday
20,Female,uttar pradesh,Student,"Less than â‚¹1,000",Dharamshala ,Friends trip,3,October,summer,3000,Train,Good,4,5,4,Yes,Relaxing holiday
17,Female,tamil nadu,Student,"Less than â‚¹1,000",Ambala,Friends trip,8,August,Summer,14040,Bus,Good,4,5,5,Yes,Cultural exploration
22,Female,Himachal Pradesh ,Student,"Less than â‚¹1,000",manali,Friends trip,4,October,summer,3000,Bus,Good,3,5,5,Yes,Nature & sightseeing
18,Male,uttar pradesh,Student,"â‚¹1,000 â€“ â‚¹3,000",hyderabad,Friends trip,2,August,rainy,3036,Train,Excellent,4,4,4,Yes,Nature & sightseeing
21,Male,andhra pradesh,Business,"â‚¹1,000 â€“ â‚¹3,000",Vrindhavan,Friends trip,4,October,winter,10000,Bike,Excellent,5,5,5,Yes,Luxury travel
22,Male,Andhra Pradesh ,Student,"â‚¹1,000 â€“ â‚¹3,000",manali,Friends trip,1,November,Winter,1585,Bus,Average,4,5,4,Yes,Budget travel
26,Female,andhra pradesh,Student,"â‚¹1,000 â€“ â‚¹3,000",Manali ,Friends trip,5,February,rainy,7066,Bus,Average,4,4,4,Yes,Nature & sightseeing
22,Female,Karnataka,Working Professional,"â‚¹3,000 â€“ â‚¹7,000",Manikomda,Friends trip,1,October,winter,500,Car,Good,3,3,3,Yes,Food-focused trip
19,Female,Haryana,Student,"â‚¹1,000 â€“ â‚¹3,000",Ambala,Solo,2,August,Summer,1500,Bus,Good,4,3,5,Yes,Budget travel
19,Female,tamil nadu,Student,"â‚¹3,000 â€“ â‚¹7,000",Chennai,Friends trip,1,October,autumn,600,Bus,Good,3,4,5,No,Nature & sightseeing
22,Male,Uttar Pradesh,Business,"Less than â‚¹1,000",kashmir,Friends trip,8,May,Autumn,6000,Bike,Average,4,5,4,Yes,Budget travel
17,Male,Patna,Working Professional,"â‚¹7,000 â€“ â‚¹15,000",Kedarnath,Friends trip,5,November,Summer,7745,Flight,Excellent,4,5,4,No,Budget travel
